tmdb_id,genre
66129,Comedy
66129,Family
66195,Comedy
66195,Thriller
66195,Crime
67660,Comedy
67660,Romance
67748,Crime
67748,Drama
67913,Action
67913,Comedy
67913,Thriller
67913,Crime
68179,Animation
68179,Comedy
68179,Adventure
68179,Family
68179,Science Fiction
68718,Drama
68718,Western
68721,Action
68721,Adventure
68721,Science Fiction
68722,Drama
68724,Science Fiction
68724,Action
68724,Drama
68724,Thriller
68726,Action
68726,Science Fiction
68726,Adventure
68727,Thriller
68727,Crime
68727,Mystery
68728,Fantasy
68728,Adventure
68728,Family
68730,Drama
68730,History
68734,Drama
68734,Thriller
68735,Action
68735,Adventure
68735,Fantasy
68737,Adventure
68737,Fantasy
68812,Thriller
68812,Crime
68812,Drama
68817,Drama
68817,Music
68817,Romance
69668,Mystery
69668,Drama
69668,Thriller
69798,Comedy
70074,Action
70074,Crime
70074,Thriller
70160,Science Fiction
70160,Adventure
70160,Action
70160,Thriller
70435,Action
70435,Thriller
70435,Drama
70436,Crime
70436,Thriller
70436,Mystery
70578,Thriller
70578,Crime
70578,Drama
70586,Action
70586,Crime
70586,Drama
70586,Thriller
70670,Thriller
70670,Crime
70670,Action
70868,Romance
70868,Comedy
70954,Drama
70954,Thriller
70954,Adventure
70981,Science Fiction
70981,Mystery
70981,Horror
71157,Drama
71157,Crime
71469,Horror
71469,Action
71469,Thriller
71469,Science Fiction
71552,Comedy
71668,Horror
71668,Thriller
71668,Comedy
71676,Action
71676,Fantasy
71676,Thriller
71677,Action
71677,Crime
71677,Drama
71677,Thriller
71679,Action
71679,Horror
71679,Science Fiction
71688,History
71688,Drama
71859,Drama
71859,Thriller
71864,Fantasy
71864,Drama
71864,Comedy
71864,Family
71880,Comedy
71880,Family
72105,Comedy
72105,Fantasy
72113,Comedy
72113,Drama
72190,Action
72190,Horror
72190,Science Fiction
72197,Animation
72197,Adventure
72197,Family
72197,Comedy
72207,Comedy
72207,Drama
72207,Romance
72213,Drama
72331,Action
72331,Fantasy
72331,Horror
72358,Drama
72358,Comedy
72358,Fantasy
72387,Action
72387,Crime
72387,Thriller
72431,Drama
72431,History
72431,War
72432,Drama
72432,Mystery
72477,Drama
72477,Thriller
72477,Crime
72478,Drama
72478,Thriller
72545,Adventure
72545,Action
72545,Science Fiction
72559,Action
72559,Science Fiction
72559,Adventure
72559,Thriller
72570,Drama
72570,Romance
72571,Horror
72571,Mystery
72710,Action
72710,Adventure
72710,Science Fiction
72784,Thriller
72976,History
72976,Drama
73245,Action
73245,Animation
73245,Fantasy
73245,Adventure
73499,Action
73499,Drama
73499,Crime
73532,Drama
73532,Comedy
73567,Crime
73567,Thriller
73567,Drama
73624,Comedy
73624,Fantasy
73624,Science Fiction
73624,Romance
73723,Animation
73723,Family
73873,Drama
73937,Comedy
74308,Drama
74387,Comedy
74387,Drama
74465,Drama
74465,Comedy
74465,Family
74513,Action
74513,Drama
74513,War
74534,Drama
74534,Comedy
74643,Drama
74643,Comedy
74643,Romance
74725,Horror
74725,Thriller
74725,Crime
74777,Horror
74777,Mystery
74879,Drama
74879,Crime
74944,Family
74944,Adventure
74945,Adventure
74945,Family
74997,Drama
74997,Horror
74997,Crime
74998,Action
74998,Drama
74998,Thriller
75174,Action
75174,Adventure
75174,Thriller
75198,Comedy
75233,Drama
75612,Action
75612,Science Fiction
75612,Adventure
75612,Mystery
75622,Crime
75622,Drama
75624,Thriller
75624,Animation
75624,Action
75624,Comedy
75624,Horror
75624,Mystery
75629,Animation
75629,Science Fiction
75629,Action
75629,Drama
75638,Thriller
75656,Thriller
75656,Crime
75674,Action
75674,Thriller
75674,War
75761,Horror
75761,Comedy
75780,Crime
75780,Drama
75780,Thriller
75780,Action
75802,Comedy
75802,Romance
75900,Drama
75900,Romance
75948,Action
75948,Fantasy
76025,Drama
76163,Action
76163,Adventure
76163,Thriller
76170,Action
76170,Science Fiction
76170,Adventure
76203,Drama
76203,History
76285,Adventure
76285,Family
76285,Fantasy
76338,Action
76338,Adventure
76338,Fantasy
76341,Action
76341,Adventure
76341,Science Fiction
76487,Horror
76487,Thriller
76489,Comedy
76492,Animation
76492,Comedy
76492,Family
76492,Fantasy
76493,Comedy
76494,Romance
76494,Comedy
76494,Drama
76543,Drama
76543,Romance
76544,Action
76544,Drama
76600,Action
76600,Adventure
76600,Science Fiction
76617,Horror
76617,Thriller
76649,Action
76649,Adventure
76649,History
76649,Romance
76649,Drama
76726,Science Fiction
76726,Drama
76726,Thriller
76757,Science Fiction
76757,Fantasy
76757,Action
76758,Drama
76758,History
76758,War
77016,Crime
77016,Drama
77016,Thriller
77174,Family
77174,Animation
77174,Adventure
77174,Comedy
77234,Action
77234,Thriller
77338,Drama
77338,Comedy
77459,Adventure
77459,Animation
77459,Family
77459,Fantasy
77495,Thriller
77495,Horror
77617,Animation
77617,Action
77617,Crime
77617,Mystery
77663,Action
77663,Thriller
77805,Drama
77866,Thriller
77866,Action
77866,Drama
77866,Crime
77875,Comedy
77875,Romance
77877,Drama
77877,Romance
77883,Horror
77883,Thriller
77930,Drama
77930,Comedy
77931,Fantasy
77931,Family
77931,Comedy
77931,Animation
77944,Comedy
77948,Action
77948,Thriller
77948,Mystery
77949,Horror
77949,Thriller
77949,Mystery
77950,Animation
77950,Family
77951,Animation
77951,Family
77951,Adventure
77953,Comedy
77987,Drama
77987,Thriller
77987,Crime
78215,War
78215,Drama
78215,History
78698,Adventure
78698,Drama
78698,Romance
